Raw Signal Value (0-1023): 253.00 - Voltage: 0.82 - Dust Density.02
Raw Signal Value (0-1023): 233.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 257.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 234.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 245.00 - Voltage: 0.79 - Dust Density: 0.03
Raw Signal Value (0-1023): 256.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 230.00 - Voltage: 0.74 - Dust Density: 0.03
Raw Signal Value (0-1023): 229.00 - Voltage: 0.74 - Dust Density: 0.03
Raw Signal Value (0-1023): 255.00 - Voltage: 0.82 - Dust Density: 0.04
Raw Signal Value (0-1023): 221.00 - Voltage: 0.71 - Dust Density: 0.02
Raw Signal Value (0-1023): 233.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 233.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 240.00 - Voltage: 0.77 - Dust Density: 0.03
Raw Signal Value (0-1023): 246.00 - Voltage: 0.79 - Dust Density: 0.03
Raw Signal Value (0-1023): 239.00 - Voltage: 0.77 - Dust Density: 0.03
Raw Signal Value (0-1023): 238.00 - Voltage: 0.77 - Dust Density: 0.03
Raw Signal Value (0-1023): 227.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 230.00 - Voltage: 0.74 - Dust Density: 0.03
Raw Signal Value (0-1023): 221.00 - Voltage: 0.71 - Dust Density: 0.02
Raw Signal Value (0-1023): 268.00 - Voltage: 0.86 - Dust Density: 0.05
Raw Signal Value (0-1023): 227.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 210.00 - Voltage: 0.68 - Dust Density: 0.02
Raw Signal Value (0-1023): 249.00 - Voltage: 0.80 - Dust Density: 0.04
Raw Signal Value (0-1023): 243.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 215.00 - Voltage: 0.69 - Dust Density: 0.02
Raw Signal Value (0-1023): 237.00 - Voltage: 0.76 - Dust Density: 0.03
Raw Signal Value (0-1023): 232.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 266.00 - Voltage: 0.86 - Dust Density: 0.05
Raw Signal Value (0-1023): 238.00 - Voltage: 0.77 - Dust Density: 0.03
Raw Signal Value (0-1023): 221.00 - Voltage: 0.71 - Dust Density: 0.02
Raw Signal Value (0-1023): 240.00 - Voltage: 0.77 - Dust Density: 0.03
Raw Signal Value (0-1023): 256.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 246.00 - Voltage: 0.79 - Dust Density: 0.03
Raw Signal Value (0-1023): 252.00 - Voltage: 0.81 - Dust Density: 0.04
Raw Signal Value (0-1023): 243.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 274.00 - Voltage: 0.88 - Dust Density: 0.05
Raw Signal Value (0-1023): 287.00 - Voltage: 0.92 - Dust Density: 0.06
Raw Signal Value (0-1023): 241.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 251.00 - Voltage: 0.81 - Dust Density: 0.04
Raw Signal Value (0-1023): 213.00 - Voltage: 0.69 - Dust Density: 0.02
Raw Signal Value (0-1023): 244.00 - Voltage: 0.79 - Dust Density: 0.03
Raw Signal Value (0-1023): 223.00 - Voltage: 0.72 - Dust Density: 0.02
Raw Signal Value (0-1023): 244.00 - Voltage: 0.79 - Dust Density: 0.03
Raw Signal Value (0-1023): 214.00 - Voltage: 0.69 - Dust Density: 0.02
Raw Signal Value (0-1023): 248.00 - Voltage: 0.80 - Dust Density: 0.04
Raw Signal Value (0-1023): 217.00 - Voltage: 0.70 - Dust Density: 0.02
Raw Signal Value (0-1023): 242.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 237.00 - Voltage: 0.76 - Dust Density: 0.03
Raw Signal Value (0-1023): 229.00 - Voltage: 0.74 - Dust Density: 0.03
Raw Signal Value (0-1023): 237.00 - Voltage: 0.76 - Dust Density: 0.03
Raw Signal Value (0-1023): 271.00 - Voltage: 0.87 - Dust Density: 0.05
Raw Signal Value (0-1023): 243.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 233.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 227.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 242.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 233.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 256.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 257.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 261.00 - Voltage: 0.84 - Dust Density: 0.04
Raw Signal Value (0-1023): 236.00 - Voltage: 0.76 - Dust Density: 0.03
Raw Signal Value (0-1023): 267.00 - Voltage: 0.86 - Dust Density: 0.05
Raw Signal Value (0-1023): 211.00 - Voltage: 0.68 - Dust Density: 0.02
Raw Signal Value (0-1023): 220.00 - Voltage: 0.71 - Dust Density: 0.02
Raw Signal Value (0-1023): 258.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 252.00 - Voltage: 0.81 - Dust Density: 0.04
Raw Signal Value (0-1023): 231.00 - Voltage: 0.74 - Dust Density: 0.03
Raw Signal Value (0-1023): 233.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 228.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 270.00 - Voltage: 0.87 - Dust Density: 0.05
Raw Signal Value (0-1023): 221.00 - Voltage: 0.71 - Dust Density: 0.02
Raw Signal Value (0-1023): 245.00 - Voltage: 0.79 - Dust Density: 0.03
Raw Signal Value (0-1023): 224.00 - Voltage: 0.72 - Dust Density: 0.02
Raw Signal Value (0-1023): 240.00 - Voltage: 0.77 - Dust Density: 0.03
Raw Signal Value (0-1023): 236.00 - Voltage: 0.76 - Dust Density: 0.03
Raw Signal Value (0-1023): 228.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 272.00 - Voltage: 0.88 - Dust Density: 0.05
Raw Signal Value (0-1023): 228.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 242.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 228.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 275.00 - Voltage: 0.89 - Dust Density: 0.05
Raw Signal Value (0-1023): 222.00 - Voltage: 0.72 - Dust Density: 0.02
Raw Signal Value (0-1023): 221.00 - Voltage: 0.71 - Dust Density: 0.02
Raw Signal Value (0-1023): 265.00 - Voltage: 0.85 - Dust Density: 0.05
Raw Signal Value (0-1023): 242.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 233.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 223.00 - Voltage: 0.72 - Dust Density: 0.02
Raw Signal Value (0-1023): 234.00 - Voltage: 0.75 - Dust Density: 0.03
Raw Signal Value (0-1023): 254.00 - Voltage: 0.82 - Dust Density: 0.04
Raw Signal Value (0-1023): 217.00 - Voltage: 0.70 - Dust Density: 0.02
Raw Signal Value (0-1023): 230.00 - Voltage: 0.74 - Dust Density: 0.03
Raw Signal Value (0-1023): 245.00 - Voltage: 0.79 - Dust Density: 0.03
Raw Signal Value (0-1023): 257.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 229.00 - Voltage: 0.74 - Dust Density: 0.03
Raw Signal Value (0-1023): 259.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 229.00 - Voltage: 0.74 - Dust Density: 0.03
Raw Signal Value (0-1023): 228.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 241.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 250.00 - Voltage: 0.81 - Dust Density: 0.04
Raw Signal Value (0-1023): 237.00 - Voltage: 0.76 - Dust Density: 0.03
Raw Signal Value (0-1023): 260.00 - Voltage: 0.84 - Dust Density: 0.04
Raw Signal Value (0-1023): 231.00 - Voltage: 0.74 - Dust Density: 0.03
Raw Signal Value (0-1023): 218.00 - Voltage: 0.70 - Dust Density: 0.02
Raw Signal Value (0-1023): 248.00 - Voltage: 0.80 - Dust Density: 0.04
Raw Signal Value (0-1023): 240.00 - Voltage: 0.77 - Dust Density: 0.03
Raw Signal Value (0-1023): 263.00 - Voltage: 0.85 - Dust Density: 0.04
Raw Signal Value (0-1023): 224.00 - Voltage: 0.72 - Dust Density: 0.02
Raw Signal Value (0-1023): 215.00 - Voltage: 0.69 - Dust Density: 0.02
Raw Signal Value (0-1023): 238.00 - Voltage: 0.77 - Dust Density: 0.03
